node,value
s147,hall6
s468,hall6
s417,hall4
s137,hall1
s522,hall16
s511,hall3
s450,hall18
s285,hall8
s584,hall18
s241,hall0
s64,hall12
s270,hall10
s557,hall15
s154,hall1
s582,hall10
s514,hall4
s405,hall8
s206,hall9
s411,hall18
s484,hall9
s380,hall17
s536,hall0
s314,hall2
s288,hall3
s221,hall17
s416,hall16
s189,hall5
s486,hall14
s202,hall0
s422,hall10
s327,hall0
s99,hall6
s92,hall4
s608,hall11
s85,hall12
s581,hall9
s454,hall1
s473,hall10
s391,hall4
s404,hall17
s586,hall9
s108,hall7
s643,hall15
s543,hall9
s382,hall16
s485,hall12
s614,hall16
s104,hall6
s3,hall17
s225,hall16
s240,hall17
s278,hall18
s503,hall1
s215,hall8
s571,hall17
s84,hall4
s553,hall5
s209,hall8
s435,hall18
s205,hall0
s1,hall0
s82,hall2
s4,hall8
s243,hall3
s65,hall5
s613,hall0
s509,hall13
s174,hall18
s505,hall3
s131,hall7
s637,hall7
s498,hall11
s136,hall18
s594,hall3
s9,hall14
s301,hall0
s365,hall18
s351,hall7
s211,hall12
s388,hall4
s213,hall17
s204,hall18
s253,hall8
s562,hall8
s437,hall18
s634,hall16
s533,hall18
s169,hall14
s611,hall18
s658,hall6
s472,hall6
s446,hall18
s59,hall4
s433,hall4
s83,hall17
s492,hall13
s427,hall10
s664,hall10
s354,hall7
s386,hall8
s299,hall18
s10,hall4
s300,hall17
s293,hall8
s445,hall18
s273,hall17
s291,hall6
s153,hall10
s86,hall1
s330,hall13
s585,hall15
s326,hall4
s508,hall3
s575,hall4
s40,hall18
s631,hall13
s576,hall5
s395,hall6
s556,hall4
s648,hall3
s161,hall13
s558,hall18
s596,hall16
s238,hall9
s431,hall13
s672,hall13
s102,hall1
s597,hall18
s568,hall17
s390,hall16
s15,hall6
s550,hall18
s286,hall17
s250,hall2
s663,hall13
s625,hall4
s491,hall15
s156,hall17
s413,hall8
s601,hall18
s47,hall10
s379,hall17
s14,hall6
s303,hall11
s31,hall2
s5,hall18
s551,hall13
s109,hall13
s74,hall4
s361,hall6
s671,hall9
s230,hall9
s237,hall18
s451,hall2
s620,hall17
s199,hall5
s629,hall17
s292,hall8
s218,hall3
s79,hall12
s502,hall1
s343,hall4
s20,hall18
s316,hall13
s140,hall15
s528,hall6
s87,hall12
s376,hall11
s264,hall5
s69,hall18
s295,hall0
s72,hall11
s54,hall17
s62,hall3
s495,hall5
s268,hall1
s144,hall18
s410,hall18
s88,hall4
s141,hall17
s660,hall10
s207,hall9
s456,hall11
s537,hall0
s122,hall11
s275,hall12
s282,hall17
s606,hall6
s436,hall12
s479,hall7
s328,hall9
s34,hall9
s667,hall5
s332,hall7
s120,hall15
s542,hall2
s208,hall3
s48,hall5
s163,hall0
s434,hall10
s245,hall6
s590,hall5
s95,hall17
s93,hall14
s201,hall4
s26,hall7
s432,hall11
s387,hall0
s673,hall11
s19,hall14
s287,hall18
s583,hall1
s226,hall16
s645,hall18
s267,hall9
s103,hall2
s465,hall4
s235,hall2
s271,hall16
s545,hall11
s190,hall0
s114,hall7
s496,hall2
s125,hall17
s212,hall11
s441,hall15
s223,hall4
s349,hall11
s158,hall9
s350,hall1
s646,hall10
s469,hall18
s49,hall8
s674,hall18
s344,hall2
s138,hall1
s459,hall1
s515,hall8
s520,hall3
s249,hall2
s368,hall17
s453,hall8
s442,hall16
s548,hall17
s529,hall16
s355,hall5
s164,hall14
s280,hall5
s191,hall12
s312,hall2
s185,hall8
s165,hall18
s33,hall3
s42,hall17
s544,hall10
s51,hall12
s305,hall13
s160,hall2
s499,hall6
s591,hall13
s37,hall12
s57,hall17
s159,hall15
s409,hall5
s617,hall18
s222,hall9
s438,hall8
s569,hall9
s393,hall5
s483,hall13
s541,hall7
s52,hall12
s546,hall13
s616,hall4
s53,hall10
s172,hall11
s7,hall17
s124,hall9
s236,hall5
s269,hall18
s524,hall15
s16,hall3
s224,hall9
s598,hall0
s375,hall5
s24,hall11
s547,hall13
s373,hall8
s246,hall2
s662,hall6
s200,hall16
s494,hall0
s367,hall16
s180,hall7
s579,hall8
s341,hall17
s0,hall14
s400,hall6
s443,hall0
s383,hall0
s447,hall17
s347,hall13
s603,hall12
s412,hall11
s262,hall15
s203,hall18
s628,hall1
s559,hall1
s166,hall13
s21,hall18
s279,hall14
s389,hall12
s55,hall3
s490,hall18
s277,hall12
s359,hall14
s534,hall10
s313,hall6
s493,hall1
s150,hall17
s526,hall17
s130,hall1
s574,hall9
s612,hall3
s219,hall15
s259,hall11
s531,hall7
